year,currency_code,rate_to_usd,rate_to_eur,source
1990,PLZ,9500,,IMF IFS
1991,PLZ,10576,,IMF IFS
1992,PLZ,13626,,IMF IFS
1993,PLZ,18115,,IMF IFS
1994,PLZ,22723,,IMF IFS
1995,PLN,2.42,,IMF IFS
1996,PLN,2.70,,IMF IFS
1997,PLN,3.28,,IMF IFS
1998,PLN,3.49,,IMF IFS
1999,PLN,3.97,4.23,ECB/IMF
2000,PLN,4.35,4.01,ECB/IMF
2001,PLN,4.09,3.67,ECB/IMF
2002,PLN,4.08,3.85,ECB/IMF
2003,PLN,3.89,4.40,ECB/IMF
2004,PLN,3.65,4.53,ECB/IMF
2005,PLN,3.24,3.86,ECB/IMF
2006,PLN,3.10,3.90,ECB/IMF
2007,PLN,2.77,3.78,ECB/IMF
2008,PLN,2.41,3.51,ECB/IMF
2009,PLN,3.12,4.33,ECB/IMF
2010,PLN,3.02,3.99,ECB/IMF
2011,PLN,2.96,4.12,ECB/IMF
2012,PLN,3.26,4.18,ECB/IMF
2013,PLN,3.16,4.20,ECB/IMF
2014,PLN,3.15,4.18,ECB/IMF
2015,PLN,3.77,4.18,ECB/IMF
2016,PLN,3.94,4.36,ECB/IMF
2017,PLN,3.78,4.26,ECB/IMF
2018,PLN,3.61,4.26,ECB/IMF
2019,PLN,3.84,4.30,ECB/IMF
2020,PLN,3.90,4.44,ECB/IMF
2021,PLN,3.86,4.56,ECB/IMF
2022,PLN,4.46,4.68,ECB/IMF
2023,PLN,4.20,4.54,ECB/IMF
2024,PLN,4.02,4.30,ECB/IMF
2025,PLN,3.85,4.25,ECB/IMF estimate
1990,YUD,11.3,,IMF IFS
1991,YUD,17.1,,IMF IFS
1992,YUD,900,,IMF IFS
1993,YUD,1000000,,IMF IFS hyperinflation
1994,YUN,1.5,,IMF IFS
1995,YUN,1.8,,IMF IFS
1996,YUN,4.9,,IMF IFS
1997,YUN,5.7,,IMF IFS
1998,YUN,9.3,,IMF IFS
1999,YUN,11.0,,IMF IFS
2000,YUM,15.0,,IMF IFS
2001,CSD,66.5,,IMF IFS
2002,CSD,64.2,,IMF IFS
2003,RSD,54.6,61.5,NBS/ECB
2004,RSD,58.4,72.6,NBS/ECB
2005,RSD,66.7,82.9,NBS/ECB
2006,RSD,67.1,84.2,NBS/ECB
2007,RSD,58.4,80.0,NBS/ECB
2008,RSD,55.8,81.4,NBS/ECB
2009,RSD,67.5,93.9,NBS/ECB
2010,RSD,77.7,103.0,NBS/ECB
2011,RSD,73.3,102.0,NBS/ECB
2012,RSD,88.1,113.1,NBS/ECB
2013,RSD,85.2,113.1,NBS/ECB
2014,RSD,88.5,117.3,NBS/ECB
2015,RSD,108.8,120.7,NBS/ECB
2016,RSD,111.3,123.1,NBS/ECB
2017,RSD,107.5,121.3,NBS/ECB
2018,RSD,100.3,118.3,NBS/ECB
2019,RSD,105.3,117.9,NBS/ECB
2020,RSD,105.3,117.6,NBS/ECB
2021,RSD,99.4,117.6,NBS/ECB
2022,RSD,111.7,117.5,NBS/ECB
2023,RSD,108.4,117.2,NBS/ECB
2024,RSD,109.0,117.1,NBS/ECB
2025,RSD,108.0,117.0,NBS/ECB estimate
1990,SUR,0.58,,IMF IFS
1991,SUR,0.58,,IMF IFS
1992,RUR,222,,IMF IFS
1993,RUR,932,,IMF IFS
1994,RUR,2205,,IMF IFS
1995,RUR,4559,,IMF IFS
1996,RUR,5121,,IMF IFS
1997,RUR,5785,,IMF IFS
1998,RUB,9.71,,IMF IFS
1999,RUB,24.6,,IMF IFS
2000,RUB,28.1,,IMF IFS
2001,RUB,29.2,,IMF IFS
2002,RUB,31.3,,IMF IFS
2003,RUB,30.7,34.7,ECB/IMF
2004,RUB,28.8,35.8,ECB/IMF
2005,RUB,28.3,35.2,ECB/IMF
2006,RUB,27.2,34.1,ECB/IMF
2007,RUB,25.6,35.0,ECB/IMF
2008,RUB,24.9,36.4,ECB/IMF
2009,RUB,31.7,44.1,ECB/IMF
2010,RUB,30.4,40.3,ECB/IMF
2011,RUB,29.4,40.9,ECB/IMF
2012,RUB,31.1,39.9,ECB/IMF
2013,RUB,31.8,42.3,ECB/IMF
2014,RUB,38.4,51.0,ECB/IMF
2015,RUB,61.3,68.0,ECB/IMF
2016,RUB,67.0,74.1,ECB/IMF
2017,RUB,58.4,65.9,ECB/IMF
2018,RUB,62.7,73.9,ECB/IMF
2019,RUB,64.7,72.5,ECB/IMF
2020,RUB,72.1,82.4,ECB/IMF
2021,RUB,73.7,87.2,ECB/IMF
2022,RUB,68.5,72.0,ECB/IMF
